newid,CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
12815,40,270804195,250760835,30.27225385,33.55534909
12816,41,318948467,311033740,38.9785925,38.12397314
12817,33,224726786,221180566,35.54977563,33.02939541
12818,42,209237157,199543085,33.8918251,36.29725463
12819,41,245101622,225323939,28.89293499,33.25491019
12820,39,182677716,171941890,30.43238015,33.2628382
12821,50,194142728,172649525,33.06925886,39.72873826
12822,52,266646762,245058980,31.10688561,39.73419662
12823,40,217123407,203551152,37.52110067,37.11432092
12824,47,212729794,203528203,47.79767337,45.38153436
12825,59,274476236,245058882,55.69752477,54.90019597
12826,47,206519800,202546928,50.88040979,46.73094796
12827,51,237610462,223220990,45.64970108,45.94792359
12828,58,268168519,242318680,62.64984023,57.56615964
12829,57,294528966,264927288,70.70892922,60.9178234
12830,59,323096480,302069426,61.59251093,57.62890039
12831,55,282486898,262617755,47.17281075,48.95790702
12832,52,199484551,180314221,37.50199566,42.77367879
12833,48,245678345,241380367,50.58754156,47.09835474
12834,38,240549999,237025193,46.72684801,40.7825331
12835,50,250040891,238055923,41.67093538,43.92789063
12836,58,307120683,290725787,53.70198125,53.40472283
12837,59,422432888,397833382,35.76802017,45.16086218
12838,47,334008990,315413342,29.33783236,36.74441217
12839,44,282033158,257651540,32.739719,36.60366424
12840,47,300565498,286247258,36.99810795,39.94342898
12841,34,125681877,124011760,28.93411655,30.32511556
12842,25,70803723,68832617,25.54723691,24.173825
12843,28,110894820,105306286,28.28055839,26.75842947
12844,39,175891098,167010552,52.92872745,43.81992796
12845,47,120583255,105449411,71.25330613,56.5761242
12846,28,38985885,31166094,36.38043881,30.7965002
12847,19,35238698,30262238,21.40267049,19.41168892
12848,23,91267377,83869480,27.91894326,24.49516692
12849,28,146743641,137950202,38.08046581,31.57015231
12850,30,182795590,181008901,42.56918792,34.87955818
12851,40,193453994,185105404,62.8373898,49.0790558
12852,43,210839249,191855619,52.24475532,45.61185828
12853,29,235212512,215144254,46.12268135,35.94398337
12854,22,219199622,203873100,36.18241339,28.01528159
12855,26,194551633,188008941,33.97660302,28.63602579
12856,51,309023426,298486702,51.7363216,49.30435456
12857,47,336641130,324182044,48.28869494,45.56586981
